"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,          75,        -8.5374729,      -6.110585738,      -6.049003114,      -3.058206313
          0,           0,          76,      -8.586870155,      -6.159102563,      -6.094468074,      -3.107468415
          0,           0,          77,      -8.636721706,      -6.207881459,      -6.140677052,      -3.157190455
          0,           0,          78,      -8.687070102,      -6.256928223,      -6.187967653,      -3.207413339
          0,           0,          79,      -8.737945817,      -6.306263242,      -6.236501198,      -3.258163532
          0,           0,          80,      -8.789326691,      -6.355906441,      -6.286086294,       -3.30941208
          0,           0,          81,      -8.841071396,      -6.405829298,      -6.336161509,      -3.361009166
          0,           0,          82,      -8.893034559,      -6.455937322,      -6.386091089,      -3.412800842
          0,           0,          83,       -8.94514641,      -6.506108837,      -6.435451741,      -3.464712354
          0,           0,          84,      -8.997415634,       -6.55627416,      -6.484169307,      -3.516754489
          0,           0,          85,      -9.049920379,      -6.606490413,      -6.532449548,      -3.569015793
          0,           0,          86,      -9.102707772,      -6.656938988,      -6.580534488,       -3.62155988
          0,           0,          87,      -9.155724006,      -6.707805512,      -6.628554054,      -3.674349026
          0,           0,          88,      -9.208825644,      -6.759131714,      -6.676599863,      -3.727248434
          0,           0,          89,      -9.261930515,      -6.810789093,       -6.72492157,      -3.780173376
          0,           0,          90,      -9.315112654,      -6.862587298,       -6.77391882,      -3.833187852
          0,           0,          91,      -9.368485353,       -6.91442302,      -6.823887922,      -3.886396562
          0,           0,          92,      -9.422193299,      -6.966379035,      -6.874832674,      -3.939939967
          0,           0,          93,      -9.476256859,      -7.018635814,      -6.926310189,      -3.993835885
          0,           0,          94,      -9.530518841,      -7.071254598,      -6.977617186,      -4.047918903
          0,           0,          95,      -9.584671758,      -7.124037157,      -7.028194007,      -4.101868212
          0,           0,          96,      -9.638685052,      -7.176648235,      -7.078012716,      -4.155634007
          0,           0,          97,      -9.692730237,      -7.228855523,      -7.127413959,      -4.209383546
          0,           0,          98,       -9.74692617,      -7.280713175,      -7.176653339,      -4.263254642
          0,           0,          99,      -9.801466263,      -7.332580782,      -7.225770533,      -4.317474762
          0,           0,         100,      -9.856257937,      -7.384854338,      -7.274568381,      -4.371983026
          0,           0,         101,      -9.911004534,      -7.437666152,      -7.323043048,      -4.426492096
          0,           0,         102,      -9.965473359,      -7.490813002,       -7.37169244,       -4.48074995
          0,           0,         103,      -10.01964842,      -7.543995404,      -7.421185196,       -4.53471293
          0,           0,         104,      -10.07358935,      -7.597024796,      -7.471726968,      -4.588432121
          0,           0,         105,      -10.12762597,      -7.649864049,      -7.522885231,      -4.642241122
          0,           0,         106,      -10.18190266,      -7.702474921,      -7.573585369,      -4.696287274
          0,           0,         107,      -10.23607931,      -7.754742284,      -7.622765806,      -4.750215389
          0,           0,         108,       -10.2895665,      -7.806557814,      -7.670300424,      -4.803407361
          0,           0,         109,      -10.34195393,      -7.858022117,      -7.717059677,      -4.855443145
          0,           0,         110,      -10.39290901,      -7.909500416,      -7.763831216,      -4.906028684
          0,           0,         111,        -10.443062,      -7.961289077,      -7.810836793,      -4.955850819
          0,           0,         112,      -10.49320037,      -8.013161431,      -7.857325874,      -5.005727629
          0,           0,         113,      -10.54378428,      -8.064332341,      -7.902366755,      -5.056102585
          0,           0,         114,      -10.59463229,      -8.114104505,      -7.946045468,      -5.106732513
          0,           0,         115,      -10.64512491,      -8.162741188,      -7.989740818,      -5.156962517
          0,           0,         116,      -10.69476265,      -8.211717464,      -8.035174785,      -5.206329477
          0,           0,         117,       -10.7435814,      -8.262682232,      -8.083000031,        -5.2549529
          0,           0,         118,      -10.79246634,      -8.315849675,      -8.132136819,      -5.303746698
          0,           0,         119,       -10.8422523,      -8.369190519,      -8.180259178,      -5.353478749
          0,           0,         120,      -10.89290663,      -8.419452022,      -8.225612707,      -5.403951126
          0,           0,         121,      -10.94302814,      -8.464861042,      -8.268478499,      -5.453639019
          0,           0,         122,      -10.99116887,      -8.507394016,      -8.311103824,      -5.501145846
          0,           0,         123,      -11.03639648,      -8.551625007,      -8.355749386,      -5.545790409
          0,           0,         124,      -11.07955184,      -8.601155632,      -8.402816298,      -5.588646809
          0,           0,         125,      -11.12299616,      -8.655758423,      -8.450260531,      -5.632100459
          0,           0,         126,      -11.16854199,      -8.710580741,      -8.495107592,      -5.677750122
          0,           0,         127,      -11.21618662,      -8.759158776,      -8.536105294,      -5.725287061
          0,           0,         128,      -11.26409959,      -8.799296071,      -8.575082514,      -5.772743443
          0,           0,         129,      -11.31036005,      -8.836257329,      -8.615684965,      -5.818361957
          0,           0,         130,      -11.35447764,      -8.878424899,      -8.660770385,      -5.862013671
          0,           0,         131,      -11.39774664,      -8.930588479,      -8.710080189,      -5.905251332
          0,           0,         132,      -11.44291973,      -8.990896566,      -8.760543595,      -5.950769049
          0,           0,         133,      -11.49160632,      -9.050476181,      -8.808231811,      -5.999775994
          0,           0,         134,      -11.54160549,      -9.098568513,      -8.851090082,       -6.04965329
          0,           0,         135,      -11.58998078,      -9.133012101,      -8.891641664,       -6.09731997
          0,           0,         136,      -11.63478418,      -9.163761065,      -8.934482205,      -6.141167285
          0,           0,         137,      -11.67571467,       -9.20311501,      -8.982788972,      -6.181444879
          0,           0,         138,      -11.71582456,      -9.257187695,      -9.035949661,      -6.221483528
          0,           0,         139,      -11.75981159,      -9.322440345,      -9.089904403,      -6.265768247
          0,           0,         140,      -11.80963321,      -9.386168056,      -9.139189718,      -6.315722722
          0,           0,         141,      -11.86326976,      -9.433531483,      -9.181719381,      -6.368836865
          0,           0,         142,      -11.91649909,      -9.463408664,       -9.22084518,       -6.42087965
          0,           0,         143,      -11.96519817,      -9.490871732,      -9.262149122,      -6.468341267
          0,           0,         144,       -12.0085399,      -9.531161054,      -9.309621986,      -6.511060822
